,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Turbo,Engine_Volume_Num,Age,Age_Group,Mileage_Band,Inventory_Segment,Price_Per_Litre,Is_Premium_Brand
0,13328,1399.0,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,False,3.5,16,11-20 yrs (Old),High Mileage,Standard,3808.0,True
1,16621,1018.0,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000,6.0,Tiptronic,4x4,4-5,Left wheel,Black,8,False,3.0,15,11-20 yrs (Old),High Mileage,Standard,5540.33,False
2,8467,0.0,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000,4.0,Variator,Front,4-5,Right-hand drive,Black,2,False,1.3,20,11-20 yrs (Old),High Mileage,Standard,6513.08,False
3,3607,862.0,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966,4.0,Automatic,4x4,4-5,Left wheel,White,0,False,2.5,15,11-20 yrs (Old),High Mileage,Standard,1442.8,False
4,11726,446.0,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901,4.0,Automatic,Front,4-5,Left wheel,Silver,4,False,1.3,12,11-20 yrs (Old),Medium Mileage,Standard,9020.0,False
5,39493,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931,4.0,Automatic,Front,4-5,Left wheel,White,4,False,2.0,10,6-10 yrs (Mid),High Mileage,Premium,19746.5,False
6,1803,761.0,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909,4.0,Automatic,Front,4-5,Left wheel,White,12,False,1.8,16,11-20 yrs (Old),High Mileage,Standard,1001.67,False
7,549,751.0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118,4.0,Automatic,Front,4-5,Left wheel,Grey,12,False,2.4,13,11-20 yrs (Old),High Mileage,Standard,228.75,False
8,1098,394.0,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069,4.0,Automatic,Front,4-5,Left wheel,Black,12,False,2.5,12,11-20 yrs (Old),High Mileage,Standard,439.2,False
9,26657,0.0,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,False,3.5,19,11-20 yrs (Old),Medium Mileage,Premium,7616.29,True
10,941,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467,6.0,Automatic,Rear,4-5,Left wheel,White,12,False,3.5,12,11-20 yrs (Old),High Mileage,Standard,268.86,True
11,8781,0.0,FORD,Transit,1999,Microbus,No,CNG,4,0,8.0,Manual,Rear,2-3,Left wheel,Blue,0,False,4.0,27,> 20 yrs (Classic/Junk),Low Mileage,Standard,2195.25,False
